name,url
حسناء,https://senseiprod.github.io/invitation/generated_audios/%D8%AD%D8%B3%D9%86%D8%A7%D8%A1.mp3
وليد,https://senseiprod.github.io/invitation/generated_audios/%D9%88%D9%84%D9%8A%D8%AF.mp3
عائشة,https://senseiprod.github.io/invitation/generated_audios/%D8%B9%D8%A7%D8%A6%D8%B4%D8%A9.mp3
مهند,https://senseiprod.github.io/invitation/generated_audios/%D9%85%D9%87%D9%86%D8%AF.mp3
يمنى,https://senseiprod.github.io/invitation/generated_audios/%D9%8A%D9%85%D9%86%D9%89.mp3
نورة,https://senseiprod.github.io/invitation/generated_audios/%D9%86%D9%88%D8%B1%D8%A9.mp3
عارف,https://senseiprod.github.io/invitation/generated_audios/%D8%B9%D8%A7%D8%B1%D9%81.mp3
أكرم,https://senseiprod.github.io/invitation/generated_audios/%D8%A3%D9%83%D8%B1%D9%85.mp3
أمين,https://senseiprod.github.io/invitation/generated_audios/%D8%A3%D9%85%D9%8A%D9%86.mp3
فهد,https://senseiprod.github.io/invitation/generated_audios/%D9%81%D9%87%D8%AF.mp3
بهاء,https://senseiprod.github.io/invitation/generated_audios/%D8%A8%D9%87%D8%A7%D8%A1.mp3
ناجا,https://senseiprod.github.io/invitation/generated_audios/%D9%86%D8%A7%D8%AC%D8%A7.mp3
عازم,https://senseiprod.github.io/invitation/generated_audios/%D8%B9%D8%A7%D8%B2%D9%85.mp3
ماجد,https://senseiprod.github.io/invitation/generated_audios/%D9%85%D8%A7%D8%AC%D8%AF.mp3
علي,https://senseiprod.github.io/invitation/generated_audios/%D8%B9%D9%84%D9%8A.mp3
فرح,https://senseiprod.github.io/invitation/generated_audios/%D9%81%D8%B1%D8%AD.mp3
ابتسام,https://senseiprod.github.io/invitation/generated_audios/%D8%A7%D8%A8%D8%AA%D8%B3%D8%A7%D9%85.mp3
باسم,https://senseiprod.github.io/invitation/generated_audios/%D8%A8%D8%A7%D8%B3%D9%85.mp3
كرم,https://senseiprod.github.io/invitation/generated_audios/%D9%83%D8%B1%D9%85.mp3
موسى,https://senseiprod.github.io/invitation/generated_audios/%D9%85%D9%88%D8%B3%D9%89.mp3
أسماء,https://senseiprod.github.io/invitation/generated_audios/%D8%A3%D8%B3%D9%85%D8%A7%D8%A1.mp3
زكية,https://senseiprod.github.io/invitation/generated_audios/%D8%B2%D9%83%D9%8A%D8%A9.mp3
بهجت,https://senseiprod.github.io/invitation/generated_audios/%D8%A8%D9%87%D8%AC%D8%AA.mp3
هنادي,https://senseiprod.github.io/invitation/generated_audios/%D9%87%D9%86%D8%A7%D8%AF%D9%8A.mp3
نصير,https://senseiprod.github.io/invitation/generated_audios/%D9%86%D8%B5%D9%8A%D8%B1.mp3
بدر,https://senseiprod.github.io/invitation/generated_audios/%D8%A8%D8%AF%D8%B1.mp3
جابر,https://senseiprod.github.io/invitation/generated_audios/%D8%AC%D8%A7%D8%A8%D8%B1.mp3
منيرة,https://senseiprod.github.io/invitation/generated_audios/%D9%85%D9%86%D9%8A%D8%B1%D8%A9.mp3
خولة,https://senseiprod.github.io/invitation/generated_audios/%D8%AE%D9%88%D9%84%D8%A9.mp3
رحمة,https://senseiprod.github.io/invitation/generated_audios/%D8%B1%D8%AD%D9%85%D8%A9.mp3
